,LayoutHit,LayoutMiss,LayoutOverflow,StageHit,,
1064,0.788462545,0.058303461,0.003233994,0.091696539,,
1065,0.784504607,0.061502714,0.003992679,0.088497286,,
1066,0.779073897,0.066074227,0.004851876,0.083925773,,
1067,0.776876892,0.067749659,0.005373449,0.082250341,,
1068,0.778886073,0.065004385,0.006109542,0.084995615,,
1069,0.781711223,0.061003632,0.007285145,0.088996368,,
1070,0.781300288,0.06361342,0.005086292,0.08638658,,
1071,0.78321951,0.061515859,0.005264631,0.088484141,,
1072,0.784325241,0.060592188,0.005082571,0.089407812,,
1073,0.785841944,0.059282124,0.004875932,0.090717876,,
1074,0.780850229,0.06509912,0.00405065,0.084900881,,
1075,0.772951926,0.072227302,0.004820772,0.077772698,,
1076,0.766311003,0.079370898,0.004318098,0.070629103,,
1077,0.754146462,0.089623779,0.006229759,0.060376221,,
1078,0.749165163,0.093656822,0.007178015,0.056343178,,
1079,0.752892848,0.089675107,0.007432045,0.060324893,,
1080,0.759451166,0.085158861,0.005389973,0.064841139,,
1081,0.758270263,0.084441127,0.00728861,0.065558873,,
1082,0.756132079,0.086767556,0.007100365,0.063232444,,
1083,0.754000563,0.087814376,0.008185061,0.062185624,,
1084,0.761753205,0.082178019,0.006068776,0.067821981,,
1085,0.760680816,0.081988952,0.007330232,0.068011048,,
1086,0.751773052,0.090139414,0.008087535,0.059860585,,
1087,0.752621733,0.088330699,0.009047568,0.061669301,,
1088,0.752495709,0.088181604,0.009322687,0.061818396,,
1089,0.765709159,0.076016835,0.008274006,0.073983165,,
1090,0.742552598,0.094324952,0.013122451,0.055675047,,
1091,0.736420361,0.103145303,0.010434336,0.046854697,,
1092,0.752075644,0.087814552,0.010109804,0.062185448,,
1093,0.744504062,0.096163133,0.009332804,0.053836868,,
1094,0.753241262,0.086187299,0.010571439,0.063812701,,
1095,0.736669319,0.102553978,0.010776704,0.047446021,,
1096,0.745563319,0.09393122,0.010505461,0.05606878,,
1097,0.755425048,0.083372053,0.0112029,0.066627946,,
1098,0.755303806,0.082912993,0.011783201,0.067087007,,
1099,0.753531969,0.082361642,0.014106389,0.067638358,,
1100,0.736547063,0.097432607,0.01602033,0.052567393,,
1101,0.759367904,0.073256,0.017376096,0.076744,,
1102,0.76250641,0.069257921,0.018235669,0.080742079,,
1103,0.758818128,0.074336628,0.016845244,0.075663372,,
1104,0.751967499,0.081991889,0.016040612,0.068008111,,
1105,0.758916433,0.076077629,0.015005939,0.07392237,,
1106,0.764930818,0.071067015,0.014002166,0.078932986,,
1107,0.768627773,0.067739222,0.013633004,0.082260779,,
1108,0.758409289,0.079834529,0.011756183,0.07016547,,
1109,0.753916449,0.084048427,0.012035124,0.065951573,,
1110,0.755097541,0.081391859,0.013510599,0.068608142,,
1111,0.749153867,0.082582743,0.018263391,0.067417256,,
1112,0.741840085,0.089759641,0.018400274,0.060240359,,
1113,0.744860297,0.083895879,0.021243824,0.066104121,,
1114,0.764201459,0.067102162,0.018696379,0.082897838,,
1115,0.765943626,0.066318651,0.017737723,0.083681349,,
1116,0.763586301,0.070405716,0.016007983,0.079594284,,
1117,0.759010792,0.07743151,0.013557698,0.07256849,,
1118,0.754456904,0.081856612,0.013686484,0.068143388,,
1119,0.754581921,0.081834365,0.013583714,0.068165635,,
1120,0.754582168,0.083330104,0.012087728,0.066669896,,
1121,0.729949052,0.107749522,0.012301426,0.042250478,,
1122,0.740120672,0.092988482,0.016890846,0.057011518,,
1123,0.736466697,0.096251367,0.017281936,0.053748633,,
1124,0.74147422,0.089329832,0.019195948,0.060670168,,
1125,0.74719556,0.08351847,0.01928597,0.06648153,,
1126,0.753905379,0.079539393,0.016555228,0.070460607,,
1127,0.75849653,0.075224046,0.016279424,0.074775954,,
1128,0.765395208,0.07123767,0.013367122,0.07876233,,
